File:20200523-164849_DecaWaveAllAccum.log, created by DecaRanging MP Version 3.05 (build:Oct  7 2015, 15:44:09)
Mode: 2, Chan 2, Code 9, PRF 64, Plength 1024, DataRate 1, PAC 2, ic:8186b3, ucode:xxxx, antdl:80A5

21 16 Rx time = 9.880070909564680e+000 92FD2D2307

21 16 Rx time(un) = 9.880071153846155e+000 92FD2D6000

txdly 4052 rxdly 4052
RX DATA: 41cc16cadeb38646803b054211828a46803b994011211898

RX OK WInd(0735), HLP(0743.6406), PSC(0289), SLP(0000.0000), RC(0092 FD2D2307), DCR(0), DCI(0), NTH(0702), T(7BB9), RSL(-078.8698), FSL(-082.4435), RSMPL(26)
Accum Len 1016
41, 17
-25, -19
11, -32
39, -14
23, -45
173, -133
78, -39
157, -91
-142, 275
82, 213
65, 93
-14, -41
67, -24
87, 57
129, 64
319, -96
-99, 37
-150, 97
-26, 24
-24, -24
82, -145
322, -192
195, 127
9, 181
196, 34
206, 39
130, -8
101, -25
-35, 154
-210, 259
-5, -10
11, -46
-17, 226
97, 88
52, -107
33, -96
14, 129
-55, 215
-30, 23
-122, 73
-18, 92
-66, 90
8, -53
52, 16
71, 74
115, 36
73, 31
158, -49
170, -142
61, 6
4, 93
-27, 73
48, -4
118, -66
83, 74
-63, 180
320, 91
370, 115
172, 203
29, -41
-79, 19
-156, 218
8, 73
-49, 39
15, -135
-98, -42
-119, 156
-24, 161
66, 36
173, 14
31, 121
72, 41
165, -70
48, 72
-62, 231
-52, 36
36, -86
141, 11
117, 188
32, 72
-37, 33
-4, 29
9, -36
23, 7
71, 46
136, -57
69, -31
43, -28
54, -15
70, 34
41, 49
30, 113
5, 31
-46, 8
-38, -9
-37, 68
-69, 211
34, 143
26, 27
-22, -90
33, -19
191, 92
67, 111
-97, 112
158, -72
68, -12
25, -15
10, -14
18, -27
68, -53
72, -32
110, -84
68, -25
130, -35
32, 104
49, 70
-1, 105
-183, 251
-74, 105
-161, 168
21, 225
145, 151
175, -19
94, -63
-33, 72
-97, 171
2, -16
3, -66
-4, 37
-9, 40
49, -17
49, -16
61, -10
217, -82
86, -88
56, -5
-74, 180
51, 67
166, -84
87, -68
-23, 74
-167, 51
-92, -114
47, -94
57, 37
16, 109
-36, 134
11, 95
5, 80
-69, 224
-31, 198
-146, 192
