File:20200605-112244_DecaWaveAllAccum.log, created by DecaRanging MP Version 3.05 (build:Oct  7 2015, 15:44:09)
Mode: 2, Chan 2, Code 9, PRF 64, Plength 1024, DataRate 1, PAC 2, ic:8186b3, ucode:xxxx, antdl:80A5

21 FC Rx time = 1.129297382903270e+001 A802597BBA

21 FC Rx time(un) = 1.129297407051282e+001 A80259B800

txdly 4052 rxdly 4052
RX DATA: 41ccfccadeb38646803b054211828a46803b99401121627c

RX OK WInd(0735), HLP(0748.1875), PSC(0614), SLP(0000.0000), RC(00A8 02597BBA), DCR(0), DCI(0), NTH(03B2), T(80BA), RSL(-083.8540), FSL(-090.0190), RSMPL(18)
Accum Len 1016
-93, 76
-141, 22
5, 51
66, 243
-84, 505
61, 319
266, 227
132, 325
13, 311
22, 86
47, 38
69, 72
87, 157
-81, 261
-260, 145
90, -61
374, 53
245, 250
77, 187
-17, -87
116, -136
393, 133
466, 396
172, 270
-178, 108
-161, 79
255, 143
316, 161
90, 237
-123, 205
-61, 162
153, 17
64, 170
147, 62
255, -81
337, 110
101, 431
-100, 295
-151, 48
15, 120
141, 257
-60, 99
-209, 79
29, 221
7, 277
-100, 83
8, 125
-7, 160
18, 131
63, 148
-16, 144
9, 210
45, 318
53, 279
-36, 269
-36, 185
63, 142
22, 20
6, 88
9, 292
-37, 263
-81, 157
-152, 114
-275, -89
-151, 37
-49, 175
88, 242
234, 121
244, 260
299, 243
86, -95
-66, -88
-31, 363
-6, 416
-62, 82
-83, 88
-56, 338
-5, 461
-16, 272
-8, 33
104, 123
152, 423
31, 404
37, 144
255, -6
282, 1
107, 144
14, 170
32, 101
124, -26
4, 11
-129, 105
-18, 89
137, 228
91, 216
-67, -41
-192, -75
41, 34
91, 129
50, 133
-74, 210
-124, 294
-302, 329
-237, 119
-92, 41
178, 15
97, 121
-13, 155
2, 104
147, 198
154, 250
179, 237
32, 54
68, -72
94, 82
33, 210
-98, 155
26, 119
76, 88
82, 192
-12, 139
5, 78
60, 80
203, 75
148, 86
-77, 125
-135, 107
203, 133
183, 186
97, 116
138, 43
75, 15
149, 101
77, 214
-172, 318
-106, 89
-109, 177
53, 141
72, 106
-13, 103
-160, 19
-83, 67
-61, 121
62, 154
40, 185
-47, 91
-78, 13
11, 101
170, 279
134, 247
-151, 84
-147, 75
56, 316
-9, 181
1, -22
67, 52
88, 138
-46, 204
-62, 123
-57, -15
150, -1
40, 125
12, 211
-20, 182
1, 97
-55, 159
-122, 78
-115, 123
27, 181
-8, 91
-85, 37
-15, 208
76, 237
112, 90
-6, -7
-117, 156
12, 44
118, -1
102, 82
-71, 79
-92, 197
-113, 107
63, 49
-37, 5
-124, 54
-118, 82
38, 118
95, 121
-45, 175
8, 60
55, 85
-7, 31
6, 35
-18, 176
55, 146
85, -21
-40, -13
-36, -70
43, 80
107, 113
136, -51
78, -85
34, 65
187, 68
139, 121
66, 85
214, 40
20, -17
-193, 36
-37, 83
175, 89
141, 76
-38, 3
-181, -136
-22, 81
-7, 247
135, 143
88, 186
24, 24
-29, 75
-65, 173
-14, 190
173, 133
0, 144
28, 140
65, 137
105, 71
114, 195
61, 292
14, 213
-65, 68
-26, -29
39, 134
-64, 271
39, 173
50, 59
152, 134
73, 305
-167, 215
-156, 151
-29, 91
104, 14
260, 5
186, -24
98, 100
91, 60
151, 100
90, 110
-9, 137
-29, 23
48, 122
80, 215
35, 160
21, 92
30, -15
13, 95
-31, 238
-27, 348
-49, 108
20, 51
138, 118
1, 261
-190, 125
-12, 34
125, 125
88, 142
10, 28
49, -62
-50, 65
101, 81
167, 130
31, 118
-80, 130
-135, 254
-101, 245
15, 177
110, 113
-7, 198
-67, 156
11, -12
112, -4
-51, 143
-50, 112
145, 125
255, 77
201, 247
73, 313
96, 178
56, 3
95, 133
90, 118
169, 30
137, 185
106, 251
64, 45
88, -55
117, 41
83, 160
247, 178
166, 86
142, 59
79, 152
23, 173
57, 207
84, 240
30, 231
58, 193
155, 48
105, 198
-8, 158
89, 136
119, 124
0, 0
-11, 63
13, 95
28, 151
-67, 107
70, 23
41, 21
-104, 17
30, 57
65, 191
25, 179
-125, 23
-42, -61
163, 79
155, 205
62, 68
-88, 22
-6, 118
15, 247
82, 249
107, 200
-6, 162
70, 38
90, 151
-18, 226
-31, 155
8, 138
152, 45
43, 230
-24, 215
165, 103
247, 23
183, 108
30, 133
-12, 97
58, 92
133, 199
262, 269
44, 272
-87, 265
-96, 186
29, 160
23, 228
